ID,pLDDT
AF-E3N9Q1-F1,51.88
AF-A0A1G8J9F3-F1,49.49
AF-A0A838GL92-F1,64.14
AF-A0A558BF60-F1,48.82
AF-A0A7W6BRX4-F1,49.30
AF-A0A0F9XHQ8-F1,69.62
AF-A0A4D4J1H3-F1,50.97
AF-A0A1M7YKG8-F1,31.46
AF-A0A379WGV2-F1,34.43
AF-A0A386C8X3-F1,33.12
AF-A0A2X2K0S1-F1,38.07
AF-A0A7R9BB38-F1,46.58
AF-F0X8N1-F1,66.37
AF-B6Z5U9-F1,55.63
AF-A0A2P7RKN9-F1,64.77
AF-A0A1A0HG11-F1,61.55
AF-A0A6V8PWA8-F1,32.68
AF-A0A0M3C5S7-F1,45.07
AF-A0A326KTM1-F1,66.22
AF-A0A7H8S891-F1,67.71
AF-A0A519S4D4-F1,34.85
AF-A0A251UH49-F1,69.61
AF-A0A0P9CLY2-F1,59.65
AF-A0A2N0WYE0-F1,45.72
AF-R7V6F4-F1,47.85
AF-A0A7L4QPV6-F1,80.97
AF-A0A6C6Z3G5-F1,74.91
AF-A0A1M5SIC2-F1,41.72
AF-A0A224VKH4-F1,34.14
AF-A0A330EQN8-F1,70.64
AF-A0A819LUJ0-F1,33.05
AF-A0A1H0ZI80-F1,62.47
AF-A0A7S3RYS8-F1,45.00
AF-A0A4P6JME8-F1,38.25
AF-E3MV22-F1,78.02
AF-A0A7V3CXC1-F1,44.94
AF-A0A4R2X175-F1,69.59
AF-A0A535KDJ6-F1,58.32
AF-A0A403MNV3-F1,38.65
AF-A0A5K0X8V9-F1,38.74
AF-A0A350KIM4-F1,49.35
AF-A0A484TSN9-F1,71.22
AF-A0A5E7KWP8-F1,45.14
AF-A0A7J2I4P6-F1,61.31
AF-A0A0L7L3L9-F1,43.79
AF-A0A353GFK9-F1,39.32
AF-H1LZV8-F1,61.09
AF-A0A0S7ZH79-F1,44.13
AF-A0A7S3WZJ2-F1,33.22
AF-A0A1F5X212-F1,34.45
AF-I2CRY6-F1,41.42
AF-F1KY61-F1,31.35
AF-A0A7J4BUY1-F1,33.16
AF-A0A4Z1AWX7-F1,54.66
AF-A0A1F6B0D1-F1,46.51
AF-A0A564Y7B2-F1,40.00
AF-A0A7X6YT87-F1,51.91
AF-A0A090TDU8-F1,44.96
AF-A0A3L7HS65-F1,81.53
AF-A0A6G1NKW2-F1,48.96
AF-A0A537XKC7-F1,54.15
AF-A0A7Y3JFE2-F1,48.50
AF-A0A2W0B877-F1,43.07
AF-A0A809SMI5-F1,70.15
AF-A0A7C3CSV4-F1,61.99
AF-A0A4S0XKG3-F1,49.16
AF-A0A5J5CH53-F1,83.77
AF-A0A2G5I188-F1,61.61
AF-A0A0N5CBN8-F1,39.97
AF-E8UBI5-F1,62.08
AF-A0A7X7T6G6-F1,32.55
AF-A0A1V1W0G2-F1,50.65
AF-A0A1G0ZD41-F1,38.95
AF-A0A2V5K666-F1,58.90
AF-F0EH29-F1,77.07
AF-A0A2B6JH55-F1,50.13
AF-A0A0C9V4M1-F1,60.72
AF-A0A2G1Z3T0-F1,45.67
AF-A0A1A8N2D1-F1,37.43
AF-A0A0C2MRA0-F1,44.90
AF-A0A314YP61-F1,49.72
AF-W4JQT6-F1,36.28
AF-A0A660TV00-F1,34.76
AF-A0A5S3YKE8-F1,29.83
AF-A0A2V6YT65-F1,36.45
AF-H7BYF7-F1,77.92
AF-A0A0Q5XEY0-F1,45.40
AF-A0A7L8V679-F1,41.03
AF-A0A5K1BLG8-F1,54.06
AF-A0A7W7RR50-F1,73.02
AF-A0A7Y1X438-F1,45.65
AF-A0A133N3P0-F1,70.54
AF-T1BQ88-F1,31.77
AF-A0A392STT1-F1,42.23
AF-A0A7J6S601-F1,43.87
AF-A0A381NYU8-F1,35.44
AF-A0A0F9S7T3-F1,43.68
AF-W1XR28-F1,67.05
AF-A0A816B5M9-F1,39.21
AF-A0A6B3IEC8-F1,76.26
AF-A0A1X7V7M1-F1,43.39
AF-X1BCD7-F1,44.51
AF-A0A420I7J6-F1,42.20
AF-A0A838VVV5-F1,79.27
AF-A0A2M7ERR9-F1,35.26
AF-A0A3A8NSX3-F1,64.02
AF-V2YIC2-F1,34.68
AF-A0A351FNR2-F1,42.06
AF-A0A2P2IC52-F1,41.72
AF-A0A554TV50-F1,70.38
AF-A0A067BRB5-F1,44.99
AF-A0A2D6KTW7-F1,65.51
AF-A0A2P5DTT9-F1,37.45
AF-A0A2N9LLC3-F1,39.01
AF-A0A3B8UPZ3-F1,60.16
AF-A0A484P313-F1,31.11
AF-A0A2G1MBX3-F1,75.35
AF-L5N2V4-F1,55.10
AF-A0A6V7JJ54-F1,74.17
AF-A0A1V5LYA5-F1,66.20
AF-A0A3D8P8T0-F1,79.08
AF-A0A080YWB0-F1,39.71
AF-A0A7Y5UA25-F1,33.55
AF-A0A384KKT6-F1,76.68
AF-A0A2D3WEF6-F1,70.75
AF-A0A498T2L0-F1,31.04
AF-A0A7K4F708-F1,61.12
AF-A0A0K8ME89-F1,74.61
AF-A0A7G9Z2M5-F1,63.86
AF-A0A531LIX3-F1,41.46
AF-A0A2E9SZI5-F1,62.33
AF-A0A485K6L2-F1,45.61
AF-A0A1Y2FSV1-F1,27.99
AF-A0A7C3JUD8-F1,44.10
AF-A0A0E2IWU3-F1,44.24
